id,college02,race,parentrelations,urbanrural,marijuana_anydrug,married02,homelessness,num_weight,sex,height_total_inches,depression,godhasnothingtodo,askgod,faminjail,victim,cocaine,hhsize97,age,experience02,foodstamp,numberofarrestsby2002,convictedby2002,y_arrestedafter2002,nshot_summary_text
1,"not enrolled, no high school degree, no GED",hispanic,"biological mother, marital status unknown",urban,marijuana_anydrug,"never married, cohabiting",False,162,male,60,none of the time,False,True,False,False,False,6,18,0,False,6,True,True,"current education status is not enrolled, no high school degree, no GED, and race is hispanic, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug, and current marriage status is never married, cohabiting, and homeless for 2 or more nights in past 5 years is False, and weight in pounds is 162, and sex is male, and height in inches is 60, and monthly frequency of severe depression is none of the time, and believes God has nothing to do with me is False, and often asks God for help is True, and other adult family member in jail past 5 years is False, and victim of violent crime past 5 years is False, and used cocaine past 3 years is False, and household size  as teen is 6, and age is 18, and number of jobs held in past year is 0, and used food stamps in past year is False, and number of previous arrests is 6, and number of previous convictions is True"
2,"not enrolled, some college",black,"biological mother, marital status unknown",urban,marijuana_anydrug,"never married, not cohabiting",False,137,female,64,none of the time,True,False,False,False,False,4,21,3,True,1,False,False,"current education status is not enrolled, some college, and race is black, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug, and current marriage status is never married, not cohabiting, and homeless for 2 or more nights in past 5 years is False, and weight in pounds is 137, and sex is female, and height in inches is 64, and monthly frequency of severe depression is none of the time, and believes God has nothing to do with me is True, and often asks God for help is False, and other adult family member in jail past 5 years is False, and victim of violent crime past 5 years is False, and used cocaine past 3 years is False, and household size  as teen is 4, and age is 21, and number of jobs held in past year is 3, and used food stamps in past year is True, and number of previous arrests is 1, and number of previous convictions is False"
3,"not enrolled, some college",black,Unknown,Unknown,,"never married, cohabiting",False,187,male,69,none of the time,False,True,False,False,False,3,22,0,False,1,False,False,"current education status is not enrolled, some college, and race is black, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and grew up at age 12 in area is Unknown, and used any drug except cocaine past 3 years is nan, and current marriage status is never married, cohabiting, and homeless for 2 or more nights in past 5 years is False, and weight in pounds is 187, and sex is male, and height in inches is 69, and monthly frequency of severe depression is none of the time, and believes God has nothing to do with me is False, and often asks God for help is True, and other adult family member in jail past 5 years is False, and victim of violent crime past 5 years is False, and used cocaine past 3 years is False, and household size  as teen is 3, and age is 22, and number of jobs held in past year is 0, and used food stamps in past year is False, and number of previous arrests is 1, and number of previous convictions is False"
4,enrolled in a 2-year college,black,Unknown,Unknown,marijuana_anydrug,"never married, not cohabiting",False,180,male,68,none of the time,True,True,False,False,True,5,18,4,False,2,False,False,"current education status is enrolled in a 2-year college, and race is black, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and grew up at age 12 in area is Unknown, and used any drug except cocaine past 3 years is marijuana_anydrug, and current marriage status is never married, not cohabiting, and homeless for 2 or more nights in past 5 years is False, and weight in pounds is 180, and sex is male, and height in inches is 68, and monthly frequency of severe depression is none of the time, and believes God has nothing to do with me is True, and often asks God for help is True, and other adult family member in jail past 5 years is False, and victim of violent crime past 5 years is False, and used cocaine past 3 years is True, and household size  as teen is 5, and age is 18, and number of jobs held in past year is 4, and used food stamps in past year is False, and number of previous arrests is 2, and number of previous convictions is False"
5,"not enrolled, no high school degree, no GED",hispanic,anything else,Unknown,marijuana_anydrug,"never married, not cohabiting",False,140,male,66,most of the time,True,True,False,False,False,4,19,3,False,1,False,False,"current education status is not enrolled, no high school degree, no GED, and race is hispanic, and relationship at age 12 with parent figure(s) or guardian(s) is anything else, and grew up at age 12 in area is Unknown, and used any drug except cocaine past 3 years is marijuana_anydrug, and current marriage status is never married, not cohabiting, and homeless for 2 or more nights in past 5 years is False, and weight in pounds is 140, and sex is male, and height in inches is 66, and monthly frequency of severe depression is most of the time, and believes God has nothing to do with me is True, and often asks God for help is True, and other adult family member in jail past 5 years is False, and victim of violent crime past 5 years is False, and used cocaine past 3 years is False, and household size  as teen is 4, and age is 19, and number of jobs held in past year is 3, and used food stamps in past year is False, and number of previous arrests is 1, and number of previous convictions is False"
6,"not enrolled, GED",black,"biological mother, marital status unknown",urban,marijuana_anydrug,"never married, not cohabiting",True,212,male,71,all of the time,True,True,False,False,False,4,21,2,False,2,False,True,"current education status is not enrolled, GED, and race is black, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug, and current marriage status is never married, not cohabiting, and homeless for 2 or more nights in past 5 years is True, and weight in pounds is 212, and sex is male, and height in inches is 71, and monthly frequency of severe depression is all of the time, and believes God has nothing to do with me is True, and often asks God for help is True, and other adult family member in jail past 5 years is False, and victim of violent crime past 5 years is False, and used cocaine past 3 years is False, and household size  as teen is 4, and age is 21, and number of jobs held in past year is 2, and used food stamps in past year is False, and number of previous arrests is 2, and number of previous convictions is False"
7,"not enrolled, high school degree",white,"biological mother, other parent present",Unknown,marijuana_anydrug,"never married, not cohabiting",False,155,male,67,most of the time,True,False,False,True,False,4,18,0,False,1,True,False,"current education status is not enrolled, high school degree, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and grew up at age 12 in area is Unknown, and used any drug except cocaine past 3 years is marijuana_anydrug, and current marriage status is never married, not cohabiting, and homeless for 2 or more nights in past 5 years is False, and weight in pounds is 155, and sex is male, and height in inches is 67, and monthly frequency of severe depression is most of the time, and believes God has nothing to do with me is True, and often asks God for help is False, and other adult family member in jail past 5 years is False, and victim of violent crime past 5 years is True, and used cocaine past 3 years is False, and household size  as teen is 4, and age is 18, and number of jobs held in past year is 0, and used food stamps in past year is False, and number of previous arrests is 1, and number of previous convictions is True"
8,"not enrolled, high school degree",hispanic,both biological parents,urban,,"never married, not cohabiting",False,220,male,68,none of the time,False,True,False,False,False,4,21,2,False,1,False,False,"current education status is not enrolled, high school degree, and race is hispanic, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is nan, and current marriage status is never married, not cohabiting, and homeless for 2 or more nights in past 5 years is False, and weight in pounds is 220, and sex is male, and height in inches is 68, and monthly frequency of severe depression is none of the time, and believes God has nothing to do with me is False, and often asks God for help is True, and other adult family member in jail past 5 years is False, and victim of violent crime past 5 years is False, and used cocaine past 3 years is False, and household size  as teen is 4, and age is 21, and number of jobs held in past year is 2, and used food stamps in past year is False, and number of previous arrests is 1, and number of previous convictions is False"
9,enrolled in a 4-year college,white,"biological mother, marital status unknown",urban,marijuana_anydrug,"never married, not cohabiting",False,159,male,74,none of the time,False,False,False,False,True,5,18,1,False,1,False,False,"current education status is enrolled in a 4-year college, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug, and current marriage status is never married, not cohabiting, and homeless for 2 or more nights in past 5 years is False, and weight in pounds is 159, and sex is male, and height in inches is 74, and monthly frequency of severe depression is none of the time, and believes God has nothing to do with me is False, and often asks God for help is False, and other adult family member in jail past 5 years is False, and victim of violent crime past 5 years is False, and used cocaine past 3 years is True, and household size  as teen is 5, and age is 18, and number of jobs held in past year is 1, and used food stamps in past year is False, and number of previous arrests is 1, and number of previous convictions is False"
10,"enrolled in grades 1-12, not a high school graduate",black,"biological mother, marital status unknown",urban,,"never married, not cohabiting",False,140,male,67,none of the time,False,True,False,False,False,4,18,1,False,1,False,False,"current education status is enrolled in grades 1-12, not a high school graduate, and race is black, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is nan, and current marriage status is never married, not cohabiting, and homeless for 2 or more nights in past 5 years is False, and weight in pounds is 140, and sex is male, and height in inches is 67, and monthly frequency of severe depression is none of the time, and believes God has nothing to do with me is False, and often asks God for help is True, and other adult family member in jail past 5 years is False, and victim of violent crime past 5 years is False, and used cocaine past 3 years is False, and household size  as teen is 4, and age is 18, and number of jobs held in past year is 1, and used food stamps in past year is False, and number of previous arrests is 1, and number of previous convictions is False"
