id,parentrelations,college02,urbanrural,married02,race,homelessness,numberofarrestsby2002,experience02,depression,num_weight,cocaine,godhasnothingtodo,height_total_inches,hhsize97,victim,foodstamp,faminjail,askgod,age,convictedby2002,sex,marijuana_anydrug,y_arrestedafter2002,nshot_summary_text
1,"biological mother, marital status unknown","not enrolled, no high school degree, no GED",urban,"never married, cohabiting",hispanic,False,6,0,none of the time,162,False,False,60,6,False,False,False,True,18,True,male,marijuana_anydrug,True,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, no high school degree, no GED, and grew up at age 12 in area is urban, and current marriage status is never married, cohabiting, and race is hispanic, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 6, and number of jobs held in past year is 0, and monthly frequency of severe depression is none of the time, and weight in pounds is 162, and used cocaine past 3 years is False, and believes God has nothing to do with me is False, and height in inches is 60, and household size  as teen is 6, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and other adult family member in jail past 5 years is False, and often asks God for help is True, and age is 18, and number of previous convictions is True, and sex is male, and used any drug except cocaine past 3 years is marijuana_anydrug"
2,"biological mother, marital status unknown","not enrolled, some college",urban,"never married, not cohabiting",black,False,1,3,none of the time,137,False,True,64,4,False,True,False,False,21,False,female,marijuana_anydrug,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, some college, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is black, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 1, and number of jobs held in past year is 3, and monthly frequency of severe depression is none of the time, and weight in pounds is 137, and used cocaine past 3 years is False, and believes God has nothing to do with me is True, and height in inches is 64, and household size  as teen is 4, and victim of violent crime past 5 years is False, and used food stamps in past year is True, and other adult family member in jail past 5 years is False, and often asks God for help is False, and age is 21, and number of previous convictions is False, and sex is female, and used any drug except cocaine past 3 years is marijuana_anydrug"
3,Unknown,"not enrolled, some college",Unknown,"never married, cohabiting",black,False,1,0,none of the time,187,False,False,69,3,False,False,False,True,22,False,male,,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, some college, and grew up at age 12 in area is Unknown, and current marriage status is never married, cohabiting, and race is black, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 1, and number of jobs held in past year is 0, and monthly frequency of severe depression is none of the time, and weight in pounds is 187, and used cocaine past 3 years is False, and believes God has nothing to do with me is False, and height in inches is 69, and household size  as teen is 3, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and other adult family member in jail past 5 years is False, and often asks God for help is True, and age is 22, and number of previous convictions is False, and sex is male, and used any drug except cocaine past 3 years is nan"
4,Unknown,enrolled in a 2-year college,Unknown,"never married, not cohabiting",black,False,2,4,none of the time,180,True,True,68,5,False,False,False,True,18,False,male,marijuana_anydrug,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is enrolled in a 2-year college, and grew up at age 12 in area is Unknown, and current marriage status is never married, not cohabiting, and race is black, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 2, and number of jobs held in past year is 4, and monthly frequency of severe depression is none of the time, and weight in pounds is 180, and used cocaine past 3 years is True, and believes God has nothing to do with me is True, and height in inches is 68, and household size  as teen is 5, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and other adult family member in jail past 5 years is False, and often asks God for help is True, and age is 18, and number of previous convictions is False, and sex is male, and used any drug except cocaine past 3 years is marijuana_anydrug"
5,anything else,"not enrolled, no high school degree, no GED",Unknown,"never married, not cohabiting",hispanic,False,1,3,most of the time,140,False,True,66,4,False,False,False,True,19,False,male,marijuana_anydrug,False,"relationship at age 12 with parent figure(s) or guardian(s) is anything else, and current education status is not enrolled, no high school degree, no GED, and grew up at age 12 in area is Unknown, and current marriage status is never married, not cohabiting, and race is hispanic, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 1, and number of jobs held in past year is 3, and monthly frequency of severe depression is most of the time, and weight in pounds is 140, and used cocaine past 3 years is False, and believes God has nothing to do with me is True, and height in inches is 66, and household size  as teen is 4, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and other adult family member in jail past 5 years is False, and often asks God for help is True, and age is 19, and number of previous convictions is False, and sex is male, and used any drug except cocaine past 3 years is marijuana_anydrug"
6,"biological mother, marital status unknown","not enrolled, GED",urban,"never married, not cohabiting",black,True,2,2,all of the time,212,False,True,71,4,False,False,False,True,21,False,male,marijuana_anydrug,True,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, GED, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is black, and homeless for 2 or more nights in past 5 years is True, and number of previous arrests is 2, and number of jobs held in past year is 2, and monthly frequency of severe depression is all of the time, and weight in pounds is 212, and used cocaine past 3 years is False, and believes God has nothing to do with me is True, and height in inches is 71, and household size  as teen is 4, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and other adult family member in jail past 5 years is False, and often asks God for help is True, and age is 21, and number of previous convictions is False, and sex is male, and used any drug except cocaine past 3 years is marijuana_anydrug"
7,"biological mother, other parent present","not enrolled, high school degree",Unknown,"never married, not cohabiting",white,False,1,0,most of the time,155,False,True,67,4,True,False,False,False,18,True,male,marijuana_anydrug,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and current education status is not enrolled, high school degree, and grew up at age 12 in area is Unknown, and current marriage status is never married, not cohabiting, and race is white, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 1, and number of jobs held in past year is 0, and monthly frequency of severe depression is most of the time, and weight in pounds is 155, and used cocaine past 3 years is False, and believes God has nothing to do with me is True, and height in inches is 67, and household size  as teen is 4, and victim of violent crime past 5 years is True, and used food stamps in past year is False, and other adult family member in jail past 5 years is False, and often asks God for help is False, and age is 18, and number of previous convictions is True, and sex is male, and used any drug except cocaine past 3 years is marijuana_anydrug"
8,both biological parents,"not enrolled, high school degree",urban,"never married, not cohabiting",hispanic,False,1,2,none of the time,220,False,False,68,4,False,False,False,True,21,False,male,,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, high school degree, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is hispanic, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 1, and number of jobs held in past year is 2, and monthly frequency of severe depression is none of the time, and weight in pounds is 220, and used cocaine past 3 years is False, and believes God has nothing to do with me is False, and height in inches is 68, and household size  as teen is 4, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and other adult family member in jail past 5 years is False, and often asks God for help is True, and age is 21, and number of previous convictions is False, and sex is male, and used any drug except cocaine past 3 years is nan"
9,"biological mother, marital status unknown",enrolled in a 4-year college,urban,"never married, not cohabiting",white,False,1,1,none of the time,159,True,False,74,5,False,False,False,False,18,False,male,marijuana_anydrug,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is enrolled in a 4-year college, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is white, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 1, and number of jobs held in past year is 1, and monthly frequency of severe depression is none of the time, and weight in pounds is 159, and used cocaine past 3 years is True, and believes God has nothing to do with me is False, and height in inches is 74, and household size  as teen is 5, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and other adult family member in jail past 5 years is False, and often asks God for help is False, and age is 18, and number of previous convictions is False, and sex is male, and used any drug except cocaine past 3 years is marijuana_anydrug"
10,"biological mother, marital status unknown","enrolled in grades 1-12, not a high school graduate",urban,"never married, not cohabiting",black,False,1,1,none of the time,140,False,False,67,4,False,False,False,True,18,False,male,,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is enrolled in grades 1-12, not a high school graduate, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is black, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 1, and number of jobs held in past year is 1, and monthly frequency of severe depression is none of the time, and weight in pounds is 140, and used cocaine past 3 years is False, and believes God has nothing to do with me is False, and height in inches is 67, and household size  as teen is 4, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and other adult family member in jail past 5 years is False, and often asks God for help is True, and age is 18, and number of previous convictions is False, and sex is male, and used any drug except cocaine past 3 years is nan"
